Ticker,Security_Name,GICS_Sector,Bid_Ask_Spread_Bps,Commission_Bps,Market_Impact_Bps_Per_1M,Avg_Daily_Volume_M,Avg_Daily_Dollar_Volume_M,Liquidity_Bucket,Total_Oneway_Cost_Bps,Total_Roundtrip_Cost_Bps,Cost_Low_Urgency_Bps,Cost_Medium_Urgency_Bps,Cost_High_Urgency_Bps,Max_Participation_Rate_Pct,Days_To_Liquidate,TCost_Model_ID,Model_Name,As_Of_Date
XOM,ExxonMobil,Energy,43.48,3.1,74.24,5.47,640.98,2,61.96,123.92,43.37,61.96,92.94,10.95,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
JNJ,Johnson & Johnson,Health Care,42.19,2.64,74.58,5.73,1159.21,3,61.03,122.06,42.72,61.03,91.54,9.64,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
MA,Mastercard,Financials,46.18,4.93,85.2,22.48,12193.62,5,70.62,141.24,49.43,70.62,105.93,8.03,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
NFLX,Netflix,Communication Services,43.01,1.45,72.6,6.49,669.83,2,59.26,118.51,41.48,59.26,88.88,7.34,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
PLTR,Palantir Technologies,Information Technology,41.62,2.59,75.79,11.93,2122.66,4,61.3,122.6,42.91,61.3,91.95,7.75,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
ABBV,AbbVie,Health Care,50.51,4.88,78.82,9.22,2108.62,4,69.54,139.08,48.68,69.54,104.31,11.4,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
COST,Costco,Consumer Staples,45.5,4.46,75.54,6.66,5962.9,5,64.98,129.96,45.49,64.98,97.47,11.87,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
BAC,Bank of America,Financials,46.38,4.27,70.48,5.4,292.55,2,62.7,125.39,43.89,62.7,94.04,7.69,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
AMD,Advanced Micro Devices,Information Technology,42.34,2.03,76.29,4.41,952.27,3,61.34,122.69,42.94,61.34,92.02,12.54,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
HD,Home Depot (The),Consumer Discretionary,45.04,1.68,83.42,8.47,2972.66,5,65.92,131.83,46.14,65.92,98.87,9.77,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
PG,Procter & Gamble,Consumer Staples,47.07,3.67,66.72,11.07,1609.53,4,60.57,121.14,42.4,60.57,90.85,11.02,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
GE,GE Aerospace,Industrials,43.6,4.72,76.48,8.44,2462.31,4,64.76,129.52,45.33,64.76,97.14,13.88,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
CSCO,Cisco,Information Technology,48.18,3.23,69.82,7.05,548.38,2,62.23,124.45,43.56,62.23,93.34,12.45,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
CVX,Chevron Corporation,Energy,45.31,3.29,85.07,3.42,520.48,2,68.48,136.96,47.94,68.48,102.72,10.1,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
KO,Coca-Cola Company (The),Consumer Staples,46.24,2.12,63.33,20.49,1443.6,4,56.9,113.81,39.83,56.9,85.36,8.86,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
UNH,UnitedHealth Group,Health Care,45.31,4.08,71.04,11.22,3741.51,5,62.26,124.51,43.58,62.26,93.38,6.34,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
IBM,IBM,Information Technology,52.8,1.75,78.73,4.8,1477.43,4,67.51,135.02,47.26,67.51,101.27,9.17,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
WFC,Wells Fargo,Financials,47.26,2.29,88.33,22.55,2034.02,4,70.09,140.18,49.06,70.09,105.14,10.18,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
CAT,Caterpillar Inc.,Industrials,44.19,2.7,75.38,7.53,4511.7,5,62.49,124.98,43.74,62.49,93.73,8.61,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
MS,Morgan Stanley,Financials,49.84,3.03,71.46,7.29,1275.22,3,63.68,127.36,44.58,63.68,95.52,10.32,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
AXP,American Express,Financials,43.96,1.97,91.34,9.54,3540.5,5,69.62,139.24,48.73,69.62,104.43,10.68,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
MU,Micron Technology,Information Technology,48.25,1.46,64.71,11.0,2492.39,4,57.94,115.87,40.56,57.94,86.91,10.08,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
GS,Goldman Sachs,Financials,41.74,3.44,58.7,7.99,6693.18,5,53.66,107.33,37.57,53.66,80.5,9.23,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
MRK,Merck & Co.,Health Care,43.7,2.15,79.91,3.26,329.09,2,63.96,127.92,44.77,63.96,95.94,10.85,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
CRM,Salesforce,Information Technology,48.4,3.32,72.57,4.5,1113.92,3,63.81,127.62,44.67,63.81,95.71,11.37,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
TMUS,T-Mobile US,Communication Services,50.02,1.62,68.42,15.6,3244.59,5,60.84,121.68,42.59,60.84,91.26,8.31,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
PM,Philip Morris International,Consumer Staples,48.38,2.92,82.35,3.64,540.71,2,68.29,136.59,47.8,68.29,102.44,13.3,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
APP,AppLovin Corporation,Information Technology,47.52,3.13,78.64,4.69,3210.09,5,66.21,132.42,46.35,66.21,99.31,10.28,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
RTX,RTX Corporation,Industrials,46.97,1.21,72.17,5.2,890.14,3,60.78,121.55,42.54,60.78,91.17,10.51,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
MCD,McDonald's,Consumer Discretionary,43.5,2.35,66.54,5.19,1601.71,4,57.37,114.73,40.16,57.37,86.05,11.88,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
ABT,Abbott Laboratories,Health Care,45.84,1.54,83.86,6.97,874.49,3,66.39,132.77,46.47,66.39,99.58,10.91,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
TMO,Thermo Fisher Scientific,Health Care,46.61,1.25,82.08,16.56,9524.78,5,65.6,131.2,45.92,65.6,98.4,12.35,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
AMAT,Applied Materials,Information Technology,51.17,4.96,76.09,3.6,971.19,3,68.59,137.17,48.01,68.59,102.88,11.02,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
ISRG,Intuitive Surgical,Health Care,49.15,2.29,91.85,2.74,1555.75,4,72.79,145.58,50.95,72.79,109.18,9.19,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
PEP,PepsiCo,Consumer Staples,42.89,4.24,68.61,3.12,458.13,2,59.99,119.99,42.0,59.99,89.99,11.13,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
LRCX,Lam Research,Information Technology,49.16,2.02,64.97,12.92,2029.14,4,59.08,118.16,41.36,59.08,88.62,8.12,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
INTC,Intel,Information Technology,47.09,3.73,71.74,7.14,289.11,2,63.14,126.28,44.2,63.14,94.71,10.61,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
C,Citigroup,Financials,46.22,4.04,76.91,3.63,391.55,2,65.6,131.2,45.92,65.6,98.4,10.32,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
UBER,Uber,Industrials,50.08,3.38,79.22,10.41,947.34,3,68.03,136.06,47.62,68.03,102.05,9.97,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
LIN,Linde plc,Materials,51.4,2.89,75.44,11.76,4747.37,5,66.31,132.61,46.41,66.31,99.46,10.12,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
DIS,Walt Disney Company (The),Communication Services,51.1,2.65,80.19,11.25,1186.51,3,68.29,136.58,47.8,68.29,102.44,6.61,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
QCOM,Qualcomm,Information Technology,45.79,2.4,67.36,14.44,2517.79,5,58.97,117.94,41.28,58.97,88.45,9.28,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
INTU,Intuit,Information Technology,47.38,4.72,88.92,3.33,2209.65,4,72.87,145.74,51.01,72.87,109.3,10.56,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
AMGN,Amgen,Health Care,49.3,4.32,76.71,8.91,3031.63,5,67.33,134.66,47.13,67.33,100.99,10.7,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
T,AT&T,Communication Services,51.3,4.86,86.41,4.9,124.29,1,73.71,147.42,51.6,73.71,110.57,8.31,0.4,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
NOW,ServiceNow,Information Technology,47.0,1.5,80.31,10.97,9198.47,5,65.15,130.3,45.6,65.15,97.72,12.88,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
VZ,Verizon,Communication Services,47.88,3.92,81.22,8.26,340.74,2,68.47,136.94,47.93,68.47,102.71,8.62,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
NEE,NextEra Energy,Utilities,45.12,4.75,82.12,9.23,769.7,3,68.37,136.74,47.86,68.37,102.56,12.29,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
APH,Amphenol,Information Technology,44.85,1.72,81.15,7.08,987.02,3,64.72,129.44,45.3,64.72,97.08,11.2,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
GEV,GE Vernova,Industrials,50.87,1.27,82.71,2.72,1708.76,4,68.06,136.11,47.64,68.06,102.08,9.06,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SCHW,Charles Schwab Corporation,Financials,52.57,3.96,88.3,5.61,532.87,2,74.4,148.79,52.08,74.4,111.59,13.88,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
TJX,TJX Companies,Consumer Discretionary,48.28,3.3,79.23,22.56,3390.69,5,67.06,134.11,46.94,67.06,100.58,7.95,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
ACN,Accenture,Information Technology,51.51,4.37,83.33,15.52,4181.18,5,71.79,143.58,50.25,71.79,107.68,12.17,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
BLK,BlackRock,Financials,49.58,1.56,76.94,1.89,2033.37,4,64.82,129.64,45.38,64.82,97.23,12.34,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
TXN,Texas Instruments,Information Technology,46.62,4.18,89.28,2.5,450.41,2,72.13,144.27,50.49,72.13,108.2,8.98,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
BKNG,Booking Holdings,Consumer Discretionary,49.64,1.81,72.35,2.31,11594.39,5,62.8,125.61,43.96,62.8,94.2,13.1,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
ANET,Arista Networks,Information Technology,53.17,1.65,92.17,8.07,1037.76,3,74.33,148.65,52.03,74.33,111.49,9.82,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
DHR,Danaher Corporation,Health Care,48.45,1.66,77.44,10.11,2296.95,4,64.6,129.21,45.22,64.6,96.9,10.9,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
KLAC,KLA Corporation,Information Technology,53.25,4.26,66.31,2.8,3383.78,5,64.04,128.08,44.83,64.04,96.06,10.84,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
BA,Boeing,Industrials,40.76,3.66,78.88,5.05,1020.44,3,63.48,126.97,44.44,63.48,95.23,10.04,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
GILD,Gilead Sciences,Health Care,51.09,3.09,72.41,10.72,1313.91,3,64.84,129.68,45.39,64.84,97.26,11.93,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SPGI,S&P Global,Financials,48.95,2.44,84.68,8.06,4005.45,5,69.25,138.5,48.47,69.25,103.87,11.88,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
PFE,Pfizer,Health Care,47.79,4.51,72.73,5.37,137.95,1,64.77,129.54,45.34,64.77,97.16,6.8,0.4,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
COF,Capital One,Financials,48.96,2.57,74.39,5.92,1360.53,4,64.24,128.49,44.97,64.24,96.36,12.9,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
BSX,Boston Scientific,Health Care,42.79,4.27,62.94,4.94,482.82,2,57.13,114.25,39.99,57.13,85.69,6.95,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
UNP,Union Pacific Corporation,Industrials,48.09,2.76,74.43,3.16,749.06,3,64.02,128.04,44.81,64.02,96.03,12.34,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
WELL,Welltower,Real Estate,49.82,2.51,58.66,5.55,1132.12,3,56.75,113.5,39.72,56.75,85.12,12.53,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYK,Stryker Corporation,Health Care,53.18,2.85,65.38,7.23,2633.82,5,62.13,124.26,43.49,62.13,93.2,8.1,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
LOW,Lowe's,Consumer Discretionary,47.26,2.21,84.23,11.65,2868.29,5,67.95,135.9,47.57,67.95,101.93,9.44,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
ADBE,Adobe Inc.,Information Technology,46.39,3.99,84.44,6.38,2096.68,4,69.4,138.8,48.58,69.4,104.1,8.05,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
PANW,Palo Alto Networks,Information Technology,47.31,3.01,81.55,8.48,1659.39,4,67.44,134.88,47.21,67.44,101.16,9.83,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
ADI,Analog Devices,Information Technology,51.56,1.93,70.41,2.19,608.12,2,62.91,125.83,44.04,62.91,94.37,9.65,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
PGR,Progressive Corporation,Financials,49.8,4.6,77.77,4.42,1002.94,3,68.38,136.76,47.87,68.38,102.57,11.82,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
ETN,Eaton Corporation,Industrials,47.28,2.54,78.22,1.3,440.02,2,65.29,130.57,45.7,65.29,97.93,12.87,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
MDT,Medtronic,Health Care,50.41,3.17,68.98,2.67,272.08,1,62.87,125.74,44.01,62.87,94.31,13.04,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
DE,Deere & Company,Industrials,49.16,4.63,90.28,7.73,3735.24,5,74.35,148.69,52.04,74.35,111.52,9.13,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
CRWD,CrowdStrike,Information Technology,51.78,3.5,85.27,25.28,12969.39,5,72.02,144.04,50.41,72.02,108.03,9.83,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
HOOD,"Robinhood Markets, Inc.",Financials,46.83,1.47,76.58,1.7,233.57,1,63.17,126.34,44.22,63.17,94.76,6.87,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
HON,Honeywell,Industrials,47.95,4.76,78.56,3.75,720.52,3,68.02,136.03,47.61,68.02,102.02,8.62,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
PLD,Prologis,Real Estate,47.82,3.51,80.11,9.16,1174.24,3,67.48,134.96,47.23,67.48,101.22,12.15,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
BX,Blackstone Inc.,Financials,44.61,2.34,62.11,2.25,341.07,2,55.7,111.4,38.99,55.7,83.55,13.45,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
VRTX,Vertex Pharmaceuticals,Health Care,49.89,1.56,76.47,5.16,2360.55,4,64.73,129.47,45.31,64.73,97.1,7.75,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
CB,Chubb Limited,Financials,49.78,4.18,72.99,7.72,2273.37,4,65.56,131.12,45.89,65.56,98.34,9.04,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
CEG,Constellation Energy,Utilities,49.01,3.48,70.43,5.9,2173.85,4,63.2,126.41,44.24,63.2,94.8,10.17,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
COP,ConocoPhillips,Energy,48.3,3.13,76.19,2.15,200.52,1,65.38,130.76,45.77,65.38,98.07,10.78,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN001,Synthetic Company 1,Consumer Staples,45.39,4.58,93.82,2.6,964.77,3,74.18,148.36,51.93,74.18,111.27,8.46,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN002,Synthetic Company 2,Communication Services,48.57,4.15,84.86,7.85,533.42,2,70.87,141.74,49.61,70.87,106.31,10.89,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN003,Synthetic Company 3,Materials,48.74,1.61,75.07,4.29,1545.24,4,63.52,127.03,44.46,63.52,95.27,9.1,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN004,Synthetic Company 4,Industrials,47.22,2.25,84.01,0.44,183.28,1,67.86,135.72,47.5,67.86,101.79,10.05,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN005,Synthetic Company 5,Industrials,49.45,1.99,91.09,7.23,781.35,3,72.26,144.52,50.58,72.26,108.39,11.11,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN006,Synthetic Company 6,Real Estate,51.21,3.98,87.39,0.18,5.65,1,73.28,146.56,51.29,73.28,109.92,10.01,7.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN007,Synthetic Company 7,Materials,55.51,1.13,80.24,7.02,297.46,2,69.01,138.02,48.31,69.01,103.51,9.16,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN008,Synthetic Company 8,Financials,50.33,3.28,74.52,1.35,410.42,2,65.7,131.41,45.99,65.7,98.56,9.82,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN009,Synthetic Company 9,Financials,50.54,4.05,85.23,16.12,1641.44,4,71.93,143.87,50.35,71.93,107.9,9.87,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN010,Synthetic Company 10,Consumer Staples,49.42,4.51,82.59,2.7,1303.31,3,70.51,141.01,49.36,70.51,105.76,9.34,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN011,Synthetic Company 11,Health Care,44.13,2.37,86.98,2.11,140.98,1,67.92,135.85,47.55,67.92,101.89,9.51,0.3,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN012,Synthetic Company 12,Consumer Discretionary,49.75,4.29,84.82,0.99,77.94,1,71.57,143.14,50.1,71.57,107.36,13.23,0.4,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN013,Synthetic Company 13,Energy,50.12,1.44,88.29,1.9,393.85,2,70.65,141.3,49.45,70.65,105.97,11.14,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN014,Synthetic Company 14,Health Care,57.1,4.39,75.27,10.78,2416.25,4,70.57,141.14,49.4,70.57,105.86,9.47,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN015,Synthetic Company 15,Industrials,49.21,1.51,90.2,28.28,990.79,3,71.22,142.43,49.85,71.22,106.82,11.44,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN016,Synthetic Company 16,Health Care,50.73,2.59,81.31,2.49,521.38,2,68.61,137.23,48.03,68.61,102.92,9.37,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN017,Synthetic Company 17,Consumer Discretionary,49.62,4.19,96.17,3.28,580.45,2,77.08,154.17,53.96,77.08,115.63,12.41,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN018,Synthetic Company 18,Consumer Staples,46.48,1.6,74.46,6.42,1130.96,3,62.07,124.14,43.45,62.07,93.1,10.74,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN019,Synthetic Company 19,Health Care,53.11,1.92,93.4,11.22,2145.17,4,75.17,150.34,52.62,75.17,112.76,9.86,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN020,Synthetic Company 20,Utilities,51.95,3.89,81.11,4.83,269.7,1,70.42,140.84,49.29,70.42,105.63,10.96,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN021,Synthetic Company 21,Consumer Staples,52.08,3.88,74.33,2.81,324.31,2,67.09,134.17,46.96,67.09,100.63,6.92,0.2,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN022,Synthetic Company 22,Energy,46.96,3.56,75.65,3.01,1079.85,3,64.87,129.74,45.41,64.87,97.3,7.82,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
SYN023,Synthetic Company 23,Financials,53.91,3.78,76.98,6.27,348.45,2,69.22,138.45,48.46,69.22,103.84,7.68,0.1,TCOST_MARKET_IMPACT_V1,Market Impact Transaction Cost Model,2025-12-05
